Day_of_Week,Hour,Trip_Count
Friday,0,94119
Friday,1,53452
Friday,2,32329
Friday,3,20651
Friday,4,21913
Friday,5,55219
Friday,6,149034
Friday,7,307950
Friday,8,448610
Friday,9,373680
Friday,10,302390
Friday,11,322155
Friday,12,364560
Friday,13,396118
Friday,14,440865
Friday,15,491067
Friday,16,550205
Friday,17,642487
Friday,18,591426
Friday,19,467703
Friday,20,334614
Friday,21,260441
Friday,22,236248
Friday,23,201513
Monday,0,61300
Monday,1,31416
Monday,2,18732
Monday,3,12559
Monday,4,17270
Monday,5,53389
Monday,6,149502
Monday,7,314116
Monday,8,468905
Monday,9,339514
Monday,10,244712
Monday,11,250714
Monday,12,278332
Monday,13,299047
Monday,14,334429
Monday,15,386378
Monday,16,459282
Monday,17,632860
Monday,18,592994
Monday,19,437802
Monday,20,312806
Monday,21,224468
Monday,22,162931
Monday,23,105461
Saturday,0,153455
Saturday,1,104096
Saturday,2,70118
Saturday,3,45336
Saturday,4,30224
Saturday,5,26747
Saturday,6,55274
Saturday,7,106671
Saturday,8,185617
Saturday,9,287407
Saturday,10,368561
Saturday,11,436156
Saturday,12,485686
Saturday,13,497898
Saturday,14,495936
Saturday,15,489878
Saturday,16,478002
Saturday,17,459118
Saturday,18,436263
Saturday,19,376039
Saturday,20,283501
Saturday,21,229817
Saturday,22,210171
Saturday,23,188615
Sunday,0,144009
Sunday,1,101443
Sunday,2,68307
Sunday,3,45407
Sunday,4,30937
Sunday,5,24330
Sunday,6,45347
Sunday,7,80723
Sunday,8,138013
Sunday,9,225683
Sunday,10,313572
Sunday,11,383803
Sunday,12,424382
Sunday,13,445452
Sunday,14,462218
Sunday,15,467757
Sunday,16,460357
Sunday,17,433567
Sunday,18,398356
Sunday,19,326546
Sunday,20,248595
Sunday,21,190316
Sunday,22,148907
Sunday,23,103769
Thursday,0,69003
Thursday,1,35038
Thursday,2,20493
Thursday,3,13756
Thursday,4,17580
Thursday,5,54455
Thursday,6,159310
Thursday,7,334894
Thursday,8,523858
Thursday,9,392420
Thursday,10,276674
Thursday,11,271435
Thursday,12,303263
Thursday,13,318215
Thursday,14,352682
Thursday,15,399077
Thursday,16,470677
Thursday,17,666905
Thursday,18,636025
Thursday,19,466735
Thursday,20,330205
Thursday,21,253307
Thursday,22,208599
Thursday,23,152422
Tuesday,0,57060
Tuesday,1,28920
Tuesday,2,17236
Tuesday,3,11676
Tuesday,4,17861
Tuesday,5,64062
Tuesday,6,186004
Tuesday,7,382632
Tuesday,8,580424
Tuesday,9,407429
Tuesday,10,272806
Tuesday,11,267914
Tuesday,12,301420
Tuesday,13,323287
Tuesday,14,360380
Tuesday,15,416372
Tuesday,16,509988
Tuesday,17,740083
Tuesday,18,691630
Tuesday,19,494510
Tuesday,20,342584
Tuesday,21,259182
Tuesday,22,197776
Tuesday,23,124521
Wednesday,0,68293
Wednesday,1,35073
Wednesday,2,20944
Wednesday,3,13539
Wednesday,4,18302
Wednesday,5,60488
Wednesday,6,177710
Wednesday,7,370189
Wednesday,8,568024
Wednesday,9,407873
Wednesday,10,274981
Wednesday,11,272728
Wednesday,12,305191
Wednesday,13,316740
Wednesday,14,352717
Wednesday,15,399345
Wednesday,16,483976
Wednesday,17,684573
Wednesday,18,626221
Wednesday,19,448879
Wednesday,20,319304
Wednesday,21,243533
Wednesday,22,192632
Wednesday,23,127103
